읍면동별 세대원수별 세대수,,,,,,,,,,,,,,
2016년 12월,,,,,,,,,,,,,,
행정기관코드,시도,시군구,읍면동,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
1130560000,서울특별시,강북구,번제2동,7563,2357,1978,1589,1194,322,93,21,4,3,2
1130560600,서울특별시,강북구,번제3동,7693,1965,2038,1737,1397,421,96,31,5,3,0
1130561000,서울특별시,강북구,수유제1동,10107,4138,2200,1816,1440,388,94,17,5,6,3
1130562000,서울특별시,강북구,수유제2동,9209,2976,2244,1916,1539,396,101,26,6,3,2
1130563000,서울특별시,강북구,수유제3동,11684,5533,2522,1860,1353,311,81,14,5,2,3
1130564500,서울특별시,강북구,우이동,9242,3198,2176,1882,1455,393,99,26,7,3,3
1130566000,서울특별시,강북구,인수동,13884,4764,3346,2796,2214,572,139,35,11,4,3
1132000000,서울특별시,도봉구,,136898,40157,30753,29216,27931,6744,1537,395,114,35,16
1132051100,서울특별시,도봉구,창제1동,10850,3177,2388,2355,2289,500,107,29,5,0,0
1132051200,서울특별시,도봉구,창제2동,11999,3242,2744,2711,2447,623,162,50,12,6,2
1132051300,서울특별시,도봉구,창제3동,6678,2401,1590,1268,1091,264,47,13,1,2,1
1132051400,서울특별시,도봉구,창제4동,10600,2506,2114,2382,2804,627,124,27,12,4,0
1132051500,서울특별시,도봉구,창제5동,9916,2416,2104,2357,2347,539,105,31,11,6,0
1132052100,서울특별시,도봉구,도봉제1동,10327,3828,2625,1901,1440,393,99,19,12,6,4
1132052200,서울특별시,도봉구,도봉제2동,11491,3279,2755,2487,2230,543,153,34,7,1,2
1132066000,서울특별시,도봉구,쌍문제1동,8985,2828,2054,1841,1672,454,100,24,8,2,2
1132067000,서울특별시,도봉구,쌍문제2동,8664,2796,2057,1835,1506,340,93,30,5,1,1
1132068000,서울특별시,도봉구,쌍문제3동,7587,2746,1777,1437,1247,291,72,13,3,1,0
1132068100,서울특별시,도봉구,쌍문제4동,7188,1440,1396,1683,2083,466,90,21,8,1,0
1132069000,서울특별시,도봉구,방학제1동,12702,4265,2748,2507,2358,629,145,37,8,3,2
1132070000,서울특별시,도봉구,방학제2동,9582,3471,2252,1870,1500,372,88,25,4,0,0
1132071000,서울특별시,도봉구,방학제3동,10329,1762,2149,2582,2917,703,152,42,18,2,2
1135000000,서울특별시,노원구,,219736,63642,46108,46104,50175,10902,2152,456,134,38,25
1135056000,서울특별시,노원구,월계1동,10192,3912,2058,1815,1823,458,101,18,7,0,0
1135057000,서울특별시,노원구,월계2동,11059,3498,2756,2232,1983,443,115,22,7,3,0
1135058000,서울특별시,노원구,월계3동,13159,3427,3292,2991,2722,542,142,31,9,2,1
1135059500,서울특별시,노원구,공릉1동,17407,6909,3617,3096,2912,671,154,32,13,2,1
1135060000,서울특별시,노원구,공릉2동,16718,4881,3087,3452,4159,907,188,32,5,5,2
1135061100,서울특별시,노원구,하계1동,11720,3880,2217,2138,2763,569,103,19,20,6,5
1135061200,서울특별시,노원구,하계2동,8442,1509,1668,1993,2605,560,82,18,6,1,0
1135061900,서울특별시,노원구,중계본동,9408,2094,1320,1966,3076,763,147,28,12,2,0
1135062100,서울특별시,노원구,중계1동,9226,1293,1274,2207,3615,695,123,13,4,2,0
1135062400,서울특별시,노원구,중계4동,8296,2087,1843,1736,2046,457,99,18,7,2,1
1135062500,서울특별시,노원구,중계2.3동,15618,4436,3773,3346,3190,724,123,21,3,0,2
1135063000,서울특별시,노원구,상계1동,15776,4161,3383,3389,3691,877,206,53,10,1,5
1135064000,서울특별시,노원구,상계2동,8646,2813,1577,1722,1952,455,96,24,3,3,1
1135066500,서울특별시,노원구,상계3.4동,13074,5046,2886,2345,2052,592,113,29,5,4,2
1135067000,서울특별시,노원구,상계5동,11378,3782,2548,2302,2112,502,89,29,10,1,3
1135069500,서울특별시,노원구,상계6.7동,14121,3936,3010,3198,3262,581,100,24,7,2,1
1135070000,서울특별시,노원구,상계8동,9371,1948,2114,2438,2349,450,57,13,1,1,0
1135071000,서울특별시,노원구,상계9동,8649,2002,1946,2026,2218,382,59,14,2,0,0
1135072000,서울특별시,노원구,상계10동,7476,2028,1739,1712,1645,274,55,18,3,1,1
1138000000,서울특별시,은평구,,201891,68747,44203,39913,36523,9534,2208,551,147,34,31
1138051000,서울특별시,은평구,녹번동,14398,5631,3182,2660,2206,547,125,35,9,1,2
1138052000,서울특별시,은평구,불광제1동,17577,5806,3962,3750,3112,724,158,43,15,5,2
1138053000,서울특별시,은평구,불광제2동,13340,5330,3069,2428,1931,446,100,27,6,2,1
1138055100,서울특별시,은평구,갈현제1동,11075,4065,2523,2097,1802,447,109,26,5,1,0
1138055200,서울특별시,은평구,갈현제2동,12306,3836,2738,2657,2336,575,118,33,10,1,2
1138056000,서울특별시,은평구,구산동,12476,3400,2736,2778,2591,725,180,40,15,3,8
1138057000,서울특별시,은평구,대조동,15629,7045,3337,2553,2014,507,133,35,4,1,0
1138058000,서울특별시,은평구,응암제1동,11621,4489,2434,2139,1903,502,107,31,9,2,5
1138059000,서울특별시,은평구,응암제2동,7974,2603,1669,1719,1478,365,102,25,7,5,1
1138060000,서울특별시,은평구,응암제3동,12441,5383,2764,1995,1730,439,97,27,2,1,3
1138062500,서울특별시,은평구,역촌동,20306,6413,4590,4233,3821,960,210,60,18,1,0
1138063100,서울특별시,은평구,신사제1동,11163,3274,2564,2469,2135,551,121,36,10,0,3
1138063200,서울특별시,은평구,신사제2동,8871,2780,2001,1778,1748,420,110,22,10,1,1
1138064000,서울특별시,은평구,증산동,7858,2548,1784,1555,1480,395,77,12,3,3,1
1138065000,서울특별시,은평구,수색동,6753,2424,1542,1263,1162,267,75,15,3,2,0
1138069000,서울특별시,은평구,진관동,18103,3720,3308,3839,5074,1664,386,84,21,5,2
1141000000,서울특별시,서대문구,,136766,54371,28028,24193,22750,5581,1380,344,81,17,21
1141052000,서울특별시,서대문구,천연동,8465,3255,1683,1627,1499,317,67,12,2,0,3
1141055500,서울특별시,서대문구,북아현동,5756,2422,1232,937,892,212,51,9,1,0,0
1141056500,서울특별시,서대문구,충현동,8879,4258,1643,1315,1235,321,81,21,2,2,1
1141058500,서울특별시,서대문구,신촌동,11294,7903,1508,888,729,189,51,18,6,0,2
1141061500,서울특별시,서대문구,연희동,18489,9068,3460,2686,2402,651,158,44,13,6,1
1141062000,서울특별시,서대문구,홍제제1동,10116,3336,2338,1984,1875,420,115,34,9,1,4
1141064000,서울특별시,서대문구,홍제제3동,8153,2944,1827,1558,1353,351,91,19,7,2,1
1141065500,서울특별시,서대문구,홍제제2동,5885,1626,1374,1277,1248,277,60,18,3,0,2
1141066000,서울특별시,서대문구,홍은제1동,9558,3223,2020,1841,1846,470,120,24,11,0,3
1141068500,서울특별시,서대문구,홍은제2동,12672,4574,2769,2376,2198,555,144,45,8,2,1
1141069000,서울특별시,서대문구,남가좌제1동,5854,1302,1095,1437,1520,376,102,16,4,1,1
1141070000,서울특별시,서대문구,남가좌제2동,10205,4114,2171,1794,1592,415,93,17,6,1,2
1141071000,서울특별시,서대문구,북가좌제1동,7069,1505,1605,1630,1756,427,105,35,5,1,0
1141072000,서울특별시,서대문구,북가좌제2동,14371,4841,3303,2843,2605,600,142,32,4,1,0
1144000000,서울특별시,마포구,,169432,70544,34435,29071,26999,6449,1423,334,103,45,29
1144055500,서울특별시,마포구,아현동,10467,3312,2290,2324,2040,390,72,27,6,5,1
1144056500,서울특별시,마포구,공덕동,17401,7118,3621,3103,2772,604,147,22,9,2,3
1144058500,서울특별시,마포구,도화동,9656,3466,2022,1852,1748,440,92,22,9,4,1
1144059000,서울특별시,마포구,용강동,8925,2941,1848,1894,1752,371,84,26,7,1,1
1144060000,서울특별시,마포구,대흥동,7373,4754,1187,698,551,137,33,8,2,1,2
1144061000,서울특별시,마포구,염리동,5317,2516,1067,797,685,186,44,9,8,2,3
1144063000,서울특별시,마포구,신수동,9193,3386,1907,1748,1651,389,81,27,4,0,0
1144065500,서울특별시,마포구,서강동,11639,5062,2152,2013,1916,398,75,14,5,2,2
1144066000,서울특별시,마포구,서교동,14604,8744,2559,1564,1287,332,78,24,10,6,0
1144068000,서울특별시,마포구,합정동,9643,4711,2118,1352,1106,261,69,12,4,2,8
1144069000,서울특별시,마포구,망원제1동,10243,4564,2223,1574,1416,364,71,20,8,2,1
1144070000,서울특별시,마포구,망원제2동,8259,2693,1874,1609,1589,376,91,15,7,4,1
1144071000,서울특별시,마포구,연남동,8936,4569,1881,1228,939,230,66,17,3,2,1
1144072000,서울특별시,마포구,성산제1동,9174,3857,1908,1559,1368,355,95,20,7,2,3
1144073000,서울특별시,마포구,성산제2동,16257,5341,3456,3298,3226,741,154,30,5,6,0
1144074000,서울특별시,마포구,상암동,12345,3510,2322,2458,2953,875,171,41,9,4,2
1147000000,서울특별시,양천구,,177434,47141,34590,38548,44091,10167,2172,489,158,46,32
1147051000,서울특별시,양천구,목1동,10583,1614,1581,2790,3636,748,159,36,14,2,3
1147052000,서울특별시,양천구,목2동,12655,4007,2659,2601,2611,600,140,26,5,3,3
1147053000,서울특별시,양천구,목3동,9048,3102,1938,1849,1664,375,90,24,4,2,0
1147054000,서울특별시,양천구,목4동,10010,2561,1755,2120,2763,652,117,24,13,4,1
1147055000,서울특별시,양천구,목5동,13605,1671,1827,3409,5444,1024,167,43,11,7,2
1147056000,서울특별시,양천구,신월1동,10265,4171,2163,1873,1575,360,94,25,2,2,0
